Status;Name/Label;Value;Units/States;Description;Location;Type;Category;Expiration Time;Reference
;SHK_4001VR VLM;18,652.5;L;Volume;Bell>SHK>N2-1>SHK_MIG-80>SHK_4001VR VLM;N2 AI;HVAC;;DCOCBH-D05:SHK/N2-1.SHK_MIG-80.SHK_4001VR VLM
;SHK_4001VLMB;6,518.5;L;volume Libre;Bell>SHK>N2-1>SHK_MIG-80>SHK_4001VLMB;N2 AI;HVAC;;DCOCBH-D05:SHK/N2-1.SHK_MIG-80.SHK_4001VLMB
;SDL_4001ULLAGE;7,932.1;L;SDL_4001 Ullage;Bell>SDL>FC-1>SDL_VR1>AI-40105;BACnet AI;SDA;;DCOCBH-D05:SDL/FC-1.SDL_VR1.AI-40105
;SDL_4001VL;32,921.9;L;SDL_4001 Volume;Bell>SDL>FC-1>SDL_VR1>AI-40103;BACnet AI;SDA;;DCOCBH-D05:SDL/FC-1.SDL_VR1.AI-40103
;SOR_4001VLM;1,635.1;L;Volume;Bell>SOR>N2-1>INT-15>SOR_4001VLM;N2 AI;HVAC;;DCOCBH-D05:SOR/N2-1.INT-15.SOR_4001VLM
;SOR_4001VLMB;858.9;L;Volume libre;Bell>SOR>N2-1>INT-15>SOR_4001VLMB;N2 AI;HVAC;;DCOCBH-D05:SOR/N2-1.INT-15.SOR_4001VLMB
;SOT_4001VL;8,073.4;L;Volume;Bell>SOT>N2-1>SOT_MIG-02>SOT_4001VL;N2 AI;CHA;;DCOCBH-D05:SOT/N2-1.SOT_MIG-02.SOT_4001VL
;SOT_4001ULLAGE;1,928.6;L;Ullage;Bell>SOT>N2-1>SOT_MIG-02>SOT_4001ULLAGE;N2 AI;CHA;;DCOCBH-D05:SOT/N2-1.SOT_MIG-02.SOT_4001ULLAGE
;STA_4002VLM;7,759.3;L;Volume;Bell>STA>N2-1>INT-16>STA_4002VLM;N2 AI;General;;DCOCBH-D05:STA/N2-1.INT-16.STA_4002VLM
;STA_4002VLMB;2,244.8;L;Volume libre;Bell>STA>N2-1>INT-16>STA_4002VLMB;N2 AI;General;;DCOCBH-D05:STA/N2-1.INT-16.STA_4002VLMB
;STC_4001VLM;2,929.6;L;Volume;Bell>STC>N2-1>INT-05>STC_4001VLM;N2 AI;HVAC;;DCOCBH-D05:STC/N2-1.INT-05.STC_4001VLM
;STC_4001VLMB;1,665.4;L;Volume libre;Bell>STC>N2-1>INT-05>STC_4001VLMB;N2 AI;HVAC;;DCOCBH-D05:STC/N2-1.INT-05.STC_4001VLMB
;TER_4001VLM;9,545.8;L;Volume;Bell>TER>N2-1>TER_INT-10>TER_4001VLM;N2 AI;HVAC;;DCOCBH-D05:TER/N2-1.TER_INT-10.TER_4001VLM
;TER_4001VLMB;5,437.2;L;Volume Libre;Bell>TER>N2-1>TER_INT-10>TER_4001VLMB;N2 AI;HVAC;;DCOCBH-D05:TER/N2-1.TER_INT-10.TER_4001VLMB
;THB_4001VL;5,768.3;L;Volume;Bell>THB>N2-1>THB_MIG33-10>THB_4001VL;N2 AI;HVAC;;DCOCBH-D05:THB/N2-1.THB_MIG33-10.THB_4001VL
;THB_4001ULLAGE;4,231.7;L;Ullage;Bell>THB>N2-1>THB_MIG33-10>THB_4001ULLAGE;N2 AI;HVAC;;DCOCBH-D05:THB/N2-1.THB_MIG33-10.THB_4001ULLAGE
;TRE_4001VL;3,713.1;L;Volume;Bell>TRE>N2-1>TRE_MIG-10>TRE_4001VL;N2 AI;HVAC;;DCOCBH-D05:TRE/N2-1.TRE_MIG-10.TRE_4001VL
;TRE_4001ULLAGE;1,357.9;L;Ullage;Bell>TRE>N2-1>TRE_MIG-10>TRE_4001ULLAGE;N2 AI;HVAC;;DCOCBH-D05:TRE/N2-1.TRE_MIG-10.TRE_4001ULLAGE
;VER_4001VLM;3,330.8;L;Volume;Bell>VER>N2-1>VER_MIG-20>VER_4001VLM;N2 AI;HVAC;;DCOCBH-D05:VER/N2-1.VER_MIG-20.VER_4001VLM
;VER_4001VLMB;1,333.2;L;Volume Libre;Bell>VER>N2-1>VER_MIG-20>VER_4001VLMB;N2 AI;HVAC;;DCOCBH-D05:VER/N2-1.VER_MIG-20.VER_4001VLMB
;VER_4002VLM;3,368.7;L;Volume;Bell>VER>N2-1>VER_MIG-21>VER_4002VLM;N2 AI;HVAC;;DCOCBH-D05:VER/N2-1.VER_MIG-21.VER_4002VLM
;VER_4002VLMB;1,295.4;L;Volume Libre;Bell>VER>N2-1>VER_MIG-21>VER_4002VLMB;N2 AI;HVAC;;DCOCBH-D05:VER/N2-1.VER_MIG-21.VER_4002VLMB
;T01-D01_Volume;5,075.7;L;T01-D01_Volume;Bell>ASQ-4>FC-1>ASQ_4000>Analog Inputs>AI-40103;BACnet AI;General;Unspecified;DCOCBH-D05:ASQ-4/FC-1.ASQ_4000.Analog Inputs.AI-40103
;T01-D01_Ullage;5,052.3;L;T01-D01_Ullage;Bell>ASQ-4>FC-1>ASQ_4000>Analog Inputs>AI-40105;BACnet AI;General;Unspecified;DCOCBH-D05:ASQ-4/FC-1.ASQ_4000.Analog Inputs.AI-40105
;T02-D02_Volume;17,872.8;L;T02-D02_Volume;Bell>ASQ-4>FC-1>ASQ_4000>Analog Inputs>AI-40203;BACnet AI;General;Unspecified;DCOCBH-D05:ASQ-4/FC-1.ASQ_4000.Analog Inputs.AI-40203
;T02-D02_Ullage;6,127.2;L;T02-D02_Ullage;Bell>ASQ-4>FC-1>ASQ_4000>Analog Inputs>AI-40205;BACnet AI;General;Unspecified;DCOCBH-D05:ASQ-4/FC-1.ASQ_4000.Analog Inputs.AI-40205
;YON_4001VL;8,315.6;L;Volume;Bell>YON>N2-1>YON_MIG-40>YON_4001VL;N2 AI;HVAC;;DCOCBH-D05:YON/N2-1.YON_MIG-40.YON_4001VL
;YON_4001ULLAGE;1,684.4;L;Ullage;Bell>YON>N2-1>YON_MIG-40>YON_4001ULLAGE;N2 AI;HVAC;;DCOCBH-D05:YON/N2-1.YON_MIG-40.YON_4001ULLAGE
;WEL_4001ULLAGE;1,807.5;L;Ullage;Bell>WEL>N2-1>WEL_MIG-2>WEL_4001ULLAGE;N2 AI;CHA;;DCOCBH-D05:WEL/N2-1.WEL_MIG-2.WEL_4001ULLAGE
;WEL_4001VL;8,194.5;L;Volume;Bell>WEL>N2-1>WEL_MIG-2>WEL_4001VL;N2 AI;CHA;;DCOCBH-D05:WEL/N2-1.WEL_MIG-2.WEL_4001VL
;VLI_4002VLM;916.0;L;Volume;Bell>VLI>N2-1>INT-06>VLI_4002VLM;N2 AI;HVAC;;DCOCBH-D05:VLI/N2-1.INT-06.VLI_4002VLM
;VLI_4002VLMB;224.0;L;Volume libre;Bell>VLI>N2-1>INT-06>VLI_4002VLMB;N2 AI;HVAC;;DCOCBH-D05:VLI/N2-1.INT-06.VLI_4002VLMB
;VLI_4001VLM;1,797.9;L;Volume;Bell>VLI>N2-1>INT-05>VLI_4001VLM;N2 AI;HVAC;;DCOCBH-D05:VLI/N2-1.INT-05.VLI_4001VLM
;VLI_4001VLMB;741.1;L;Volume libre;Bell>VLI>N2-1>INT-05>VLI_4001VLMB;N2 AI;HVAC;;DCOCBH-D05:VLI/N2-1.INT-05.VLI_4001VLMB
